epoch     train_loss  valid_loss  accuracy
/home/santhosr/.conda/envs/fastai/lib/python3.6/site-packages/torchvision/models/densenet.py:212: UserWarning: nn.init.kaiming_normal is now deprecated in favor of nn.init.kaiming_normal_.
  nn.init.kaiming_normal(m.weight.data)
1         1.517769    2.073429    0.344444  
2         1.332014    1.112137    0.501389  
3         1.331294    4.483468    0.256944  
4         1.355134    3.867143    0.256944  
5         1.267946    1.076978    0.530556  
6         1.280411    1.350378    0.366667  
7         1.141996    1.036252    0.583333  
8         1.162023    1.251028    0.397222  
9         1.103810    0.996546    0.569444  
10        1.029960    0.873887    0.636111  
11        1.034009    0.876630    0.636111  
12        0.913194    0.799296    0.681944  
13        0.935738    0.775639    0.705556  
14        0.939925    0.753919    0.690278  
15        0.974056    0.725198    0.725000  
epoch     train_loss  valid_loss  accuracy
1         0.880505    0.767706    0.691667  
2         0.949411    0.770246    0.727778  
3         0.959992    0.887527    0.619444  
4         1.029457    0.830810    0.651389  
5         1.013142    0.897491    0.586111  
6         1.009594    0.815105    0.676389  
7         0.991381    0.835708    0.638889  
8         0.946705    4.221254    0.313889  
9         0.964987    0.757294    0.687500  
10        0.884713    0.761460    0.645833  
11        0.903353    0.659858    0.705556  
12        0.802703    0.670916    0.745833  
13        0.746303    0.620024    0.765278  
14        0.768985    0.656611    0.730556  
15        0.820942    0.604175    0.759722  
epoch     train_loss  valid_loss  accuracy
1         0.781540    0.685797    0.722222  
2         0.786853    0.645081    0.745833  
3         0.847891    0.720871    0.698611  
4         0.930780    0.808526    0.636111  
5         0.908995    0.715624    0.723611  
6         0.944591    2.189088    0.400000  
7         0.917083    1.058970    0.591667  
8         0.960820    0.716599    0.698611  
9         0.859963    0.669644    0.736111  
10        0.812233    0.639024    0.748611  
11        0.842045    0.662776    0.716667  
12        0.773661    0.577563    0.766667  
13        0.749835    0.582452    0.773611  
14        0.726920    0.599073    0.755556  
15        0.715324    0.581545    0.768056  
epoch     train_loss  valid_loss  accuracy
1         0.736038    0.570197    0.759722  
2         0.776450    0.586058    0.766667  
3         0.716749    0.585084    0.752778  
4         0.764429    0.590055    0.763889  
5         0.704459    0.619132    0.743056  
6         0.659259    0.576603    0.768056  
7         0.711336    0.596955    0.755556  
8         0.711409    0.568284    0.770833  
9         0.736368    0.590289    0.748611  
10        0.683061    0.571431    0.775000  
11        0.739450    0.597998    0.736111  
12        0.676132    0.583993    0.755556  
13        0.671117    0.566968    0.770833  
14        0.732560    0.588471    0.768056  
15        0.685797    0.562703    0.775000  
epoch     train_loss  valid_loss  accuracy
1         0.777658    0.594623    0.752778  
2         0.708156    0.562730    0.770833  
3         0.747781    0.571123    0.777778  
4         0.712269    0.568631    0.765278  
5         0.694718    0.586444    0.765278  
6         0.663947    0.586159    0.763889  
7         0.705725    0.573942    0.762500  
8         0.696763    0.567862    0.772222  
9         0.687957    0.570311    0.761111  
10        0.689561    0.577184    0.781944  
11        0.728793    0.561906    0.775000  
12        0.651561    0.584646    0.763889  
13        0.693050    0.556761    0.772222  
14        0.743306    0.554895    0.781944  
15        0.701021    0.554210    0.780556  
