epoch     train_loss  valid_loss  accuracy
/home/santhosr/.conda/envs/fastai/lib/python3.6/site-packages/torchvision/models/densenet.py:212: UserWarning: nn.init.kaiming_normal is now deprecated in favor of nn.init.kaiming_normal_.
  nn.init.kaiming_normal(m.weight.data)
1         0.654381    0.561483    0.775000  
2         0.719061    0.576335    0.768056  
3         0.683722    0.562521    0.780556  
4         0.708381    0.554448    0.783333  
5         0.661993    0.569945    0.773611  
6         0.647952    0.580145    0.773611  
7         0.632400    0.554711    0.772222  
8         0.606020    0.546050    0.786111  
9         0.699883    0.545139    0.777778  
10        0.694747    0.553780    0.770833  
11        0.724453    0.572889    0.765278  
12        0.597304    0.560468    0.761111  
13        0.677208    0.559345    0.777778  
14        0.642705    0.566353    0.768056  
15        0.667247    0.552576    0.790278  
epoch     train_loss  valid_loss  accuracy
1         0.670721    0.549444    0.777778  
2         0.651712    0.542204    0.780556  
3         0.690908    0.556862    0.781944  
4         0.672794    0.564393    0.775000  
5         0.694478    0.575248    0.762500  
6         0.667160    0.548382    0.768056  
7         0.608008    0.586344    0.768056  
8         0.649259    0.566251    0.773611  
9         0.658001    0.542334    0.773611  
10        0.647440    0.549434    0.777778  
11        0.690341    0.537980    0.784722  
12        0.614177    0.550963    0.773611  
13        0.602010    0.542920    0.779167  
14        0.620038    0.539670    0.770833  
15        0.667062    0.567570    0.766667  
