epoch     train_loss  valid_loss  accuracy
1         0.635175    0.568378    0.775000  
2         0.644676    0.735596    0.768056  
3         0.634714    1.248911    0.759722  
4         0.630918    1.231123    0.745833  
5         0.661676    1.161554    0.755556  
6         0.636686    0.742247    0.768056  
7         0.614684    1.119580    0.747222  
8         0.639988    1.110535    0.727778  
9         0.619542    1.909207    0.715278  
10        0.634100    0.797822    0.765278  
11        0.619024    0.595547    0.762500  
12        0.624273    0.935781    0.758333  
13        0.680991    1.143168    0.754167  
14        0.654264    0.663013    0.777778  
15        0.630317    1.294614    0.737500  
epoch     train_loss  valid_loss  accuracy
1         0.628936    0.575409    0.773611  
2         0.667215    0.619917    0.755556  
3         0.652377    0.748558    0.752778  
4         0.632561    0.661141    0.765278  
5         0.610748    0.721507    0.763889  
6         0.665132    0.982284    0.727778  
7         0.624583    0.726285    0.754167  
8         0.647521    0.649783    0.744444  
9         0.625124    1.200267    0.737500  
10        0.596325    0.769360    0.758333  
11        0.639158    0.802237    0.751389  
12        0.636425    1.387498    0.730556  
13        0.639217    0.567301    0.784722  
14        0.617181    0.578133    0.768056  
15        0.636642    1.323760    0.726389  
epoch     train_loss  valid_loss  accuracy
1         0.643953    0.700461    0.776389  
2         0.618495    0.643039    0.773611  
3         0.633813    1.412306    0.775000  
4         0.655654    0.844321    0.761111  
5         0.623598    0.953013    0.751389  
6         0.634483    1.846547    0.754167  
7         0.651168    1.074715    0.765278  
8         0.642070    1.288040    0.762500  
9         0.645992    0.657181    0.765278  
10        0.628262    0.675458    0.759722  
11        0.621100    0.687951    0.758333  
12        0.644018    0.896346    0.737500  
13        0.651247    0.740252    0.769444  
14        0.630995    1.020788    0.763889  
15        0.623939    0.863967    0.736111  
epoch     train_loss  valid_loss  accuracy
1         0.652969    1.699509    0.769444  
2         0.644288    0.575503    0.770833  
3         0.616959    1.650198    0.772222  
4         0.635890    2.508363    0.706944  
5         0.642369    0.892069    0.754167  
6         0.641258    0.611251    0.748611  
7         0.665169    0.569528    0.775000  
8         0.660741    1.375089    0.751389  
9         0.619666    2.099878    0.736111  
10        0.667787    0.643320    0.751389  
11        0.665142    0.830926    0.763889  
12        0.619614    0.722808    0.754167  
13        0.672346    0.912690    0.759722  
14        0.656770    1.156430    0.766667  
15        0.654344    0.753142    0.773611  
epoch     train_loss  valid_loss  accuracy
1         0.649442    0.827163    0.755556  
2         0.648962    1.396221    0.731944  
3         0.630212    0.851741    0.763889  
4         0.634416    0.978617    0.751389  
5         0.616094    0.591838    0.766667  
6         0.620216    0.755730    0.765278  
7         0.631635    1.286886    0.751389  
8         0.674830    0.594003    0.759722  
9         0.640035    2.016870    0.734722  
10        0.628475    0.796404    0.775000  
11        0.654202    0.664103    0.752778  
12        0.623683    0.861891    0.752778  
13        0.635100    0.826278    0.763889  
14        0.623803    0.909417    0.743056  
15        0.643224    0.717181    0.769444  
